score,ranking,score_num,movie_name
9.6,1,805644,肖申克的救赎
9.4,2,773471,这个杀手不太冷
9.5,3,570223,霸王别姬
9.4,4,665023,阿甘正传
9.5,5,384479,美丽人生
9.2,6,617001,千与千寻
9.4,7,356449,辛德勒的名单
9.2,8,611692,泰坦尼克号
9.2,9,720027,盗梦空间
9.3,10,473028,机器人总动员
9.2,11,566931,海上钢琴师
9.1,12,624744,三傻大闹宝莱坞
9.2,13,418830,忠犬八公的故事
9.2,14,423641,放牛班的春天
9.1,15,433020,大话西游之大圣娶亲
9.2,16,323269,教父
9.1,17,393287,龙猫
9.2,18,255737,乱世佳人
9.0,19,417261,楚门的世界
9.1,20,292948,天堂电影院
8.9,21,508049,当幸福来敲门
9.1,22,342911,触不可及
9.0,23,385366,搏击俱乐部
9.3,24,159162,十二怒汉
9.1,25,270151,指环王3：王者无敌
9.0,26,370643,无间道
9.2,27,221604,熔炉
8.9,28,504229,怦然心动
8.9,29,363735,罗马假日
9.0,30,311637,天空之城
9.0,31,549557,少年派的奇幻漂流
8.9,32,368744,大话西游之月光宝盒
9.1,33,210916,鬼子来了
9.0,34,258783,两杆大烟枪
9.0,35,295181,蝙蝠侠：黑暗骑士
8.9,36,472749,飞屋环游记
9.1,37,448362,星际穿越
9.0,38,262377,飞越疯人院
9.1,39,206436,窃听风暴
9.0,40,243315,活着
9.3,41,173639,海豚湾
8.9,42,300359,闻香识女人
8.8,43,385711,V字仇杀队
8.9,44,286687,美丽心灵
9.1,45,174427,教父2
8.9,46,255475,指环王2：双塔奇兵
8.9,47,284924,指环王1：魔戒再现
8.8,48,322436,哈尔的移动城堡
8.7,49,456003,天使爱美丽
8.8,50,347967,情书
8.9,51,256080,死亡诗社
9.1,52,162510,美国往事
8.7,53,410509,七宗罪
9.0,54,189881,钢琴家
8.9,55,263362,狮子王
8.8,56,280403,勇敢的心
8.8,57,316079,致命魔术
8.9,58,254026,被嫌弃的松子的一生
9.1,59,179547,辩护人
8.7,60,454355,剪刀手爱德华
9.2,61,124915,小鞋子
8.9,62,217436,音乐之声
9.0,63,171665,饮食男女
9.6,64,69215,控方证人
8.7,65,307590,低俗小说
8.8,66,301144,入殓师
8.7,67,368541,本杰明·巴顿奇事
8.7,68,326085,沉默的羔羊
8.7,69,356297,蝴蝶效应
8.8,70,258886,黑客帝国
8.8,71,217379,拯救大兵瑞恩
8.9,72,221617,玛丽和马克思
8.7,73,315617,西西里的美丽传说
